Unique ID,UP ID,Present in GFKB v3 (Y/N),Present in GFKB_epilepsy v3 (Y/N),UP taxonomy,UP name,Assembly ID (UP matched),Genome Size (Mb),RefSeq Accession,Plasmid/additional chromosome accessions,GenBank Accession,GenBank record name,NCBI taxonomy,NCBI taxonomy name,Lineage (full),Characteristics,Effect/Function,Curation Notes
UP000001978_CP003939,UP000001978,Y,Y,272563,Peptoclostridium difficile (strain 630) (Clostridium difficile),GCA_000009205.2,4.298,NC_009089.1,NC_008226.2,CP003939,"Clostridioides difficile BJ08 chromosome, complete genome",1224745,Clostridioides difficile BJ08,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides; Clostridioides difficile,"Clostridium difficile was recently reclassified as Clostridioides difficile. [PMID: 27370902] Clostridium difficile, a toxin-producing, spore-forming bacillus, is a main cause of nosocomial antimicrobial drug̐associated diarrhea in industrialized countries. [PMID: 29553322]","C. difficile infection (CDI) usually develops in previously hospitalized persons with a recent history of antimicrobial drug use and causes illness with symptoms ranging from mild diarrhea to potentially lethal pseudomembranous colitis. Antimicrobial drugs disrupt the protective gut microbiota, enabling ingested C. difficile spores to germinate in the colon and providing a selective advantage to nonsusceptible strains. Multidrug resistance is frequently found in epidemic C. difficile strains. [PMID: 29553322]","represented by the reference genome in the Peptoclostridium difficile cluster in rp-75, Clostridioides difficile 630, complete genome (GenBank AC CP010905) is mapped to UP000001978. Functional information on this organism can be found using older sources when the organsim was classified as Clostridium difficile. Information on the strain was no found."
UP000019772_CP004078,UP000019772,Y,Y,1268072,Paenibacillus sabinae T27,GCA_000612505.1,5.271,NZ_CP004078.1,,CP004078,"Paenibacillus sabinae T27, complete genome",1268072,Paenibacillus sabinae T27,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus; Paenibacillus sabinae,"Firmicutes have been thought to play an important role in evolution of nitrogen fixation. Studies on evolution of nitrogen fixation in Firmicutes mainly focused on the anaerobic diazotrophic Clostridia. Although Paenibacillus is a genus of Firmicute, its nitrogen fixation traits and evolution remains unclear. It is well known that Paenibacillus is a genus of Gram-positive, facultative anaerobic, endospore-forming bacteria, originally included within the genus Bacillusand then reclassified as a separate genus in 1993. Bacteria belonging to this genus have been detected in a variety of environments such as soil, water, rhizosphere, vegetable matter, forage and insect larvae, as well as clinical samples. Nitrogen-fixing Paenibacillus species have great potential for use as a bacterial fertilizer in agriculture, but genomic information of these bacteria is lacking. [PMID: 25163544]","P. sabinae T27 is a nitrogen-fixing bacterium isolated from the rhizosphere of the plant Sabina squamata. The bacterium contains a wide spectrum of genes for carbon utilization and carbohydrate, amino acid and inorganic ion transport. The genome of P. sabinae T27 contains the complete set of genes for the pentose phosphate pathway (PPP). In addition to the metabolism of pentose, the non-oxidative PPP allows the production of intermediates necessary for nucleic acid synthesis. It contains the complete set of genes for the glycolysis pathway and allows production of acetyl-CoA. [PMID: 25163544]",
UP000198230_CP004142,UP000198230,Y,Y,54291,Raoultella ornithinolytica (Klebsiella ornithinolytica),GCA_002215315.1,6.391,NC_021066.1,,CP004142,"Raoultella ornithinolytica B6, complete genome",1286170,Raoultella ornithinolytica B6,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Raoultella; Raoultella ornithinolytica,"Raoultella ornithinolytica is an encapsulated Gram-negative aerobic bacillus belonging to the Enterobacteriaceae family. Formerly known as Klebsiella ornithinolytica , the bacterium was reclassified as Raoultella based on new genetic approaches. 1 R. ornithinolytica is known to inhabit aquatic environments and can be found in hospital environments. 2 The pathogenic potential of R. ornithinolytica isolates in human disease has become increasingly important. Many cases of biliary tract infection, urinary infection, and bacteraemia caused by R. ornithinolytica have been reported. [PMID: 26921549]","R. ornithinolytica (formerly known as Klebsiella ornithinolytica) is a Gram-negative aerobic bacillus which belongs to the family Enterobacteriaceae. R. ornithinolytica B6 can be grown using glycerol, hexoses (glucose, fructose, galactose), pentose (xylose), or disaccharide (sucrose) as a sole carbon source. When sugars are supplied, the main product of the bacterium is 2,3-butanediol, even at a relatively low temperature (25��C). Hence, R. ornithinolytica B6 has energy-saving advantages for industrial production of 2,3-butanediol. 2,3-Butanediol is a very useful chemical, which is used as a solvent and as a precursor to various chemicals and synthetic polymers (1, 2). A 2,3-butanediol-producing bacterium, strain B6, was isolated from an oil-contaminated soil sample collected from the Backwoon Mountain in South Korea for screening of organic compound-tolerant bacteria. Studies have shown that acetoin production increases rapidly in stationary phase in producing 2,3-butanediol. Also through transcriptome analysis, we found that the expression level of acetoin reductase increased sharply after 2,3-butanediol production. In producing 2,3-butanediol, it is necessary to block the route of succinic acid, lactic acid, and fumaric acid, as well as inactivate acetoin reductase. [PMID: 23814034]",This proteome is redundant to UP000198230.
UP000011835_CP004346,UP000011835,Y,Y,1254439,Bifidobacterium thermophilum RBL67,GCA_000347695.1,2.292,NC_020546.1,,CP004346,"Bifidobacterium thermophilum RBL67, complete genome",1254439,Bifidobacterium thermophilum RBL67,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium thermophilum,"The infant feces isolate B. thermophilum RBL67 (RBL67) is a promising probiotic candidate. The strain can grow under low oxygen, at pHs as low as 4.0 and at temperatures up to 47 ��C. [PMID: 26988691]","RBL67 is a moderately oxygen-tolerant strain that reaches high cell numbers in fermentation. Furthermore, it produces a bacteriocin-like inhibitory substance (BLIS) that is active against Listeria spp. [PMID: 23640377]",
UP000007843_CP004887,UP000007843,Y,Y,1006551,Klebsiella oxytoca (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686),GCA_000240325.1,5.974,NC_016612.1,,CP004887,"Klebsiella michiganensis HKOPL1, complete genome",1308980,Klebsiella michiganensis HKOPL1,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella; Klebsiella michiganensis,"Klebsiella michiganensis was first identified from a toothbrush holder in a home in Michigan and was initially identified as Klebsiella oxytoca, to which it is closely related (99% nucleotide sequence identity in the 16S rRNA gene sequence). Since characterization, K. michiganensis has been reported in clinical settings. [PMID: 25967999]","Outbreaks of ESBL-producing Enterobacteriaceae within neonatal intensive care units are most commonly caused by Klebsiella species and may be associated with significant morbidity and mortality. Similar to K. oxytoca, K. michiganensis carries a chromosomally-encoded OXY-type (Ambler class A) _-lactamase (also labelled as K1 in K. oxytoca the) which mediates resistance to amino- and carboxy-penicillins (e.g. ampicillin, ticarcillin, temocillin). Over-expression of OXY enzymes arising from mutations in regulatory genes can lead to phenotypic resistance to multiple _-lactams. Constitutive hyperproducers may also be selected during antibiotic therapy. [PMID: 25967999]",This proteome is redundant to UP000007843.
UP000000799_CP005388,UP000000799,Y,Y,192222,Campylobacter jejuni subsp jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),GCA_000009085.1,1.641,NC_002163.1,,CP005388,"Campylobacter jejuni subsp. jejuni CG8421, complete genome",478547,Campylobacter jejuni subsp. jejuni CG8421,Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter jejuni; Campylobacter jejuni subsp. jejuni,,,
UP000006381_CP005926,UP000006381,Y,Y,272621,Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM),GCA_000011985.1,1.994,NC_006814.3,,CP005926,"Lactobacillus acidophilus La-14, complete genome",1314884,Lactobacillus acidophilus La-14,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus acidophilus,"Lactobacillus acidophilus is a Gram-positive, non-spore forming, homo- fermentative, catalase-negative rod. It is a common inhabitant of the human intestinal tract, the human mouth and vagina. It is also found in some traditional fermented milks (e.g. kefir) and is today widely used in probiotic foods and supplements. Numerous studies have demonstrated the diverse beneficial effects of different strains of L. acidophilus validating its use as a probiotic. [http://ss1.spletnik.si/4_4/000/000/19f/152/La-14%20TM.pdf]","In vivo and in vitro studies of L. acidophilus strain La-14 have documented probiotic functionalities, including tolerance to gastrointestinal conditions, oxalate-degradation capability, bacteriocin production, and beneficial modulation of the immune response. [PMID: 23788546]",
UP000014070_CP005934,UP000014070,Y,Y,1295009,Methanomassiliicoccus intestinalis (strain Issoire-Mx1),GCA_000404225.1,1.932,NC_021353.1,,CP005934,"Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1, complete genome",1295009,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,Archaea; Euryarchaeota; Diaforarchaea group; Thermoplasmata; Methanomassiliicoccales; Methanomassiliicoccaceae; Methanomassiliicoccus; Candidatus Methanomassiliicoccus intestinalis,This organism is a methanogenic archaeon isolated from human feces. [PMID: 23846268],"The characterization of these methanogens led us to propose that human-associated Archaea might even have unexpected positive effects on health. Specifically, these species have the genetic potential to deplete a deleterious compound, trimethylamine (TMA), through methanogenesis based on the H2-dependent reduction of methyl compounds. [PMID: 28585938] About one-third of the adult human population excretes methane through pulmonary respiration [PMID: 5111441]; that methane is produced by bacteria in the gut. Most methane is expelled from the body in flatus. Indeed, all healthy humans appear to produce methane but only in a subset of patients is that methane absorbed into the blood and excreted via the lungs [PMID: 3965369].",
UP000028585_CP006030,UP000028585,Y,Y,1344042,Enterococcus faecium T110,GCA_000737555.1,2.738,NZ_CP006030.1,NZ_CP006031.1,CP006030,"Enterococcus faecium T110, complete genome",1344042,Enterococcus faecium T110,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecium,"E. faecium is widely and extensively studied for its leading cause of nosocomial infections in humans. It is a gut commensal and acts as opportunistic pathogen due to a variety of virulence factors, including lipopolysaccharides and biofilm formation. Their pathogenic nature is evident in urinary tract infections, endocarditis, and surgical wound infection, displaying its capability of causing a wide range of infections. Another remarkable character of E. faecium is its tolerance to many antimicrobial drugs. It has also acquired antibiotic-resistance gene against vancomycin and a multidrug resistance beta-lactamase gene. On the contrary, few strains commensal in human gut provide beneficial effect to humans as probiotics, few are responsible for nosocomial infection and few as non-pathogens. [https://doi.org/10.1101/295881]","This strain is a marketed probiotic. Research conducted has trace complete pathways for amino acid synthesis viz. valine, lysine, and methionine. These are among the essential amino acids and need to be supplied exogenously. Vitamins such as folate and thiamine are the components of Vitamin-B and are considered as essential nutrients for humans. Folate (folic acid) cannot be synthesized by human cells and hence is necessary to be supplemented exogenously as it plays important role in DNA and RNA synthesis and amino acid metabolism. Thus, strains (T110 and 17OM39) producing such amino acids and vitamins are considered beneficial for human use. [https://doi.org/10.1101/295881]",
UP000183509_CP006620,UP000183509,Y,Y,1352,Enterococcus faecium (Streptococcus faecium),GCA_900080095.1,3.384,NC_021994.1,,CP006620,"Enterococcus faecium Aus0085, complete genome",1305849,Enterococcus faecium Aus0085,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecium,"Enterococci are part of the human gastrointestinal tract microbiota but some species within the genus are also significant opportunistic nosocomial pathogens. Enterococcal infections can be difficult to treat because of their intrinsic and acquired resistance to many classes of antibiotics, including what are often considered last-line agents such as vancomycin and daptomycin. This strain is characterized as a 2009 vancomycin-resistant Enterococcus faecium (VREfm) bloodstream isolate. [PMID: 24004955]","Enterococcus faecium and Enterococcus faecalis are the two enterococci most frequently causing human infections, however vancomycin resistance has become increasingly common predominately in E. faecium. Vancomycin resistance is conferred by the presence of one of nine different gene clusters, although the majority of VRE strains possess either the vanA or vanB operon. The United States where vanA-type resistance predominates, vanB-type vancomycin resistant E. faecium are the most important cause of VRE infections in Australia. Outbreaks have been shown to occur in clinical enviornments. [PMID: 24004955]",The GenBank sequence for assembly ID is from WGS Sequence Set.
UP000019336_CP006713,UP000019336,Y,Y,1385940,Bifidobacterium breve JCM 7019,GCA_000569015.1,2.359,NZ_CP006713.1,,CP006713,"Bifidobacterium breve JCM 7019, complete genome",1385940,Bifidobacterium breve JCM 7019,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium breve,"Bifidobacteria are a common component of the microbiota of the gastrointestinal tract (GIT) of a broad range of hosts, and their presence is associated with a positive health status of the gut. However, little is known about the precise molecular mechanisms that explain these probiotic effects. This organism is a frequently encountered component of the (adult and infant) human gut microbiota, but can also be isolated from human milk and vagina. [PMID: 24581150]","Bifidobacteria are a common component of the microbiota of the gastrointestinal tract (GIT) of a broad range of hosts, and their presence is associated with a positive health status of the gut. However, little is known about the precise molecular mechanisms that explain these probiotic effects. [PMID: 24581150]",
UP000232467_CP006715,UP000232467,Y,Y,1685,Bifidobacterium breve,GCA_002838565.1,2.411,NZ_CP021556.1,,CP006715,"Bifidobacterium breve 689b, complete genome",1385942,Bifidobacterium breve 689b,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium breve,"Bifidobacteria are a common component of the microbiota of the gastrointestinal tract (GIT) of a broad range of hosts, and their presence is associated with a positive health status of the gut. However, little is known about the precise molecular mechanisms that explain these probiotic effects. This organism is a frequently encountered component of the (adult and infant) human gut microbiota, but can also be isolated from human milk and vagina. [PMID: 24581150]","Bifidobacteria are a common component of the microbiota of the gastrointestinal tract (GIT) of a broad range of hosts, and their presence is associated with a positive health status of the gut. However, little is known about the precise molecular mechanisms that explain these probiotic effects. [PMID: 24581150]",This proteome is redundant to UP000232467. No characterization/functional information was found on the strain.
UP000030089_CP006741,UP000030089,Y,Y,1300227,Bifidobacterium longum subsp longum GT15,GCA_000772485.1,2.338,NZ_CP006741.1,,CP006741,"Bifidobacterium longum subsp. longum GT15, complete genome",1300227,Bifidobacterium longum subsp. longum GT15,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. longum,This strain was isolated from the feces of a healthy adult inhabiting Central Russia and demonstrated good probiotic properties. This strain has no plasmids. [PMID: 25523785],"There is an increasing interest in the positive effects of bifidobacteria on the central nervous system (CNS) via neural, neuroendocrine, neuroimmune, and humoral mechanisms. Strain demontstrates good probiotic properties. [PMID: 25523785]",Very little functional information about this strain.
UP000017161_CP006766,UP000017161,Y,Y,1399116,Lactococcus lactis subsp lactis KLDS 4.0325,GCA_000479375.2,NA,NC_022593.1,NC_022587.1,CP006766,"Lactococcus lactis subsp. lactis KLDS 4.0325 chromosome, complete genome",1399116,Lactococcus lactis subsp. lactis KLDS 4.0325,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,"Lactococcus lactis is widely used in the production of fermented food products, such as yogurt and cheese. Some L. lactis strains have been extensively characterized functionally to document their probiotic attributes. The L. lactis strains are subdivided into two lineages, L. lactis subsp. cremoris and L. lactis subsp. lactis, based on their genotypes and phenotypes. The strain L. lactissubsp. lactis KLDS4.0325 was isolated in 2007. It was shown to have a characteristic pattern of high-yield l-lactic acid, to produce folate and riboflavin, and to possess antibacterial and antifreezing properties. [PMID: 24285665]","Not only can this strain hydrolyze extracellular proteins, transport, and perform enzymolysis efficiently, but the strain has the more complete enzyme systems of transamination and the deamination pathway. Therefore, the strain can metabolize related proteins and produce a series of flavor compounds. Otherwise, the strain possesses more key enzyme-coding genes involved in transport, sugar metabolism, and synthesis for l-lactic acid, folate, and riboflavin, and it has a gene cluster for wool sulfur antibiotic and two genes of cold stress proteins CspD and CspE. [PMID: 24285665]",This proteome is redundant to UP000275298.
UP000017124_CP006776,UP000017124,Y,Y,1156433,Streptococcus sp I-P16,GCA_000479315.1,2.024,NC_022582.1,,CP006776,"Streptococcus sp. I-P16, complete genome",1156433,Streptococcus sp. I-P16,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,"The genus Streptococcus , a heterogeneous group of Gram-positive bacteria, has broad significance in medicine and industry. Various streptococci are important ecologically as part of the normal microbial flora of animals and humans; some can also cause diseases that range from subacute to acute or even chronic. Among the significant human diseases attributable to streptococci are scarlet fever, rheumatic heart disease, glomerulonephritis, and pneumococcal pneumonia. Streptococci are essential in industrial and dairy processes and as indicators of pollution. [https://www.ncbi.nlm.nih.gov/books/NBK7611/]","Streptococci are members of the normal flora. Virulence factors of group A streptococci include (1) M protein and lipoteichoic acid for attachment; (2) a hyaluronic acid capsule that inhibits phagocytosis; (3) other extracellular products, such as pyrogenic (erythrogenic) toxin, which causes the rash of scarlet fever; and (4) streptokinase, streptodornase (DNase B), and streptolysins. Some strains are nephritogenic. Immune-mediated sequelae do not reflect dissemination of bacteria. Nongroup A strains have no defined virulence factors. In humans, diseases associated with the streptococci occur chiefly in the respiratory tract, bloodstream, or as skin infections. [https://www.ncbi.nlm.nih.gov/books/NBK7611/]",No characteristic or function information on the species or strain.
UP000006051_CP006828,UP000006051,Y,Y,867902,Ornithobacterium rhinotracheale (strain ATCC 51463 / DSM 15997 / CCUG 23171 / CIP 104009 / LMG 9086),GCA_000265465.1,2.399,NC_018016.1,,CP006828,"Ornithobacterium rhinotracheale ORT-UMN 88, complete genome",1401325,Ornithobacterium rhinotracheale ORT-UMN 88,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Ornithobacterium; Ornithobacterium rhinotracheale,"Ornithobacterium rhinotracheale strain ORT-UMN 88 is a Gram-negative, pleomorphic, rod-shaped bacterium and an etiologic agent of pneumonia and airsacculitis in poultry. It is a member of the family Flavobacteriaceae of the phylum Bacteroidetes. O. rhinotracheale strain ORT-UMN 88 was isolated from the pneumonic lung of a turkey in 1995. It was the isolate first used to experimentally reproduce disease in turkeys and has since been the focus of investigations characterizing potential virulence factors of the bacterium. [PMID: 25780507]","Although O. rhinotracheale has generally been considered nonhemolytic on blood agar, Tabatabai et al. documented the _-hemolytic activity of numerous strains, including O. rhinotracheale strain ORT-UMN 88, and suggested that a hemolysin-like protein may function as a virulence factor [PMID: 25780507]",This proteome is redundant to UP000006051.
UP000018901_CP007034,UP000018901,Y,Y,880074,Barnesiella viscericola DSM 18177,GCA_000512915.1,3.077,NZ_CP007034.1,,CP007034,"Barnesiella viscericola DSM 18177, complete genome",880074,Barnesiella viscericola DSM 18177,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella; Barnesiella viscericola,"The type strain of Barnesiella viscericola is C46T (=JCM 13660T=DSM 18177T). The strains were isolated from chicken caecum. The strains were found to be obligately anaerobic, non-pigmented, non-spore-forming, non-motile, Gram-negative rods. [PMID: 17267976]",Urease is not produced. Catalase is not produced. Gelatin is digested. [PMID: 17267976],This strain is also referred to as strains C46T and JCM 13660T according to PMID: 17267976.
UP000066984_CP007180,UP000066984,Y,Y,195,Campylobacter coli,GCA_001483845.1,2.127,*NZ_CP013733.1,NZ_CP013736.1,CP007180,"Campylobacter coli RM5611 plasmid pRM5611_48kb, complete sequence",1183380,Campylobacter coli RM5611,Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter coli,"Campylobacter coli strain YH502 isolated from retail chicken in the United States. Multiple virulence factors including a plasmid-borne type VI secretion system and antimicrobial resistance genes (beta-lactams, fluoroquinolones, and aminoglycoside) were found. [PMID: 28217442]","Campylobacter is a major cause of foodborne illnesses worldwide. Campylobacterinfections, commonly caused by ingestion of undercooked poultry and meat products, can lead to gastroenteritis and chronic reactive arthritis in humans. [PMID: 28217442]","Campylobacter coli strain OR12, complete genome 2,033,903 bp circular DNA Record removed. This record was removed by RefSeq staff. Please contact info@ncbi.nlm.nih.gov for further details. NZ_CP013733.1 GI:971845538. This proteome is redundant to UP000066984. No information was found on the specific plasmid."
UP000007097_CP007394,UP000007097,Y,Y,585056,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),GCA_000026325.2,5.358,NC_011751.1,NC_011749.1,CP007394,"Escherichia coli strain ST2747, complete genome",562,Escherichia coli,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,"Widespread multidrug resistance in Escherichia coli has necessitated the reintroduction of older antibiotics, such as nitrofurantoin. However, mechanisms by which resistance to nitrofurantoin emerges in E. coli are not well elucidated. This study compare the squence of nitrofurantoin sensitive E. coli strain ST2747 and the nitrofurantoin resistant stain ST540. Escherichia coli is the most common cause of urinary tract infections (UTI) in the community. Multidrug resistance in E. coli has necessitated the reintroduction of older antibiotics, like nitrofurantoin. [PMID: 24723707]","Widespread multidrug resistance in Escherichia coli has necessitated the reintroduction of older antibiotics, such as nitrofurantoin. However, mechanisms by which resistance to nitrofurantoin emerges in E. coli are not well elucidated. This study compare the squence of nitrofurantoin sensitive E. coli strain ST2747 and the nitrofurantoin resistant stain ST540. Escherichia coli is the most common cause of urinary tract infections (UTI) in the community. Multidrug resistance in E. coli has necessitated the reintroduction of older antibiotics, like nitrofurantoin. [PMID: 24723707]",Referred to as strain ST540 in UniProt. This proteome is redundant to UP000007097.
UP000028581_CP007443,UP000028581,Y,Y,1680,Bifidobacterium adolescentis,GCA_000737885.1,2.203,NZ_CP007443.1,,CP007443,"Bifidobacterium adolescentis strain 22L, complete genome",1680,Bifidobacterium adolescentis,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium,Isolated from human milk. [PMID: 27035119],"Has extensive capabilities to metabolize diet-derived glycans, in particular starch and starch-related/derived poly- and oligo-saccharides, such as amylopectin, pullulan, maltotriose and maltodextrin. [PMID: 27035119] The analysis of the 2,203,222-bp genome of Bifidobacterium adolescentis 22L revealed a nutrient acquisition strategy that targets diet/plant-derived glycans, in particular starch and starch-like carbohydrates. Starch-like carbohydrates were shown to support the growth of B. adolescentis 22L. [PMID: 25063659]",
UP000030625_CP007456,UP000030625,Y,Y,1447716,Bifidobacterium kashiwanohense PV20-2,GCA_000800455.1,2.371,NZ_CP007456.1,,CP007456,"Bifidobacterium kashiwanohense PV20-2, complete genome",1447716,Bifidobacterium kashiwanohense PV20-2,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium catenulatum; Bifidobacterium catenulatum subsp. kashiwanohense,B. kashiwanohense strain PV20-2 was isolated from the feces of an anemic Kenyan infant. [PMID: 25614572],B. kashiwanohense PV20-2 was functionally characterized and selected for its high siderophore activity and high iron internalization activity. [PMID: 25614572],
UP000025226_CP007557,UP000025226,Y,Y,1333848,Citrobacter freundii CFNIH1,GCA_000648515.1,5.371,NZ_CP007557.1,NZ_CP007558.1,CP007557,"Citrobacter freundii CFNIH1, complete genome",1333848,Citrobacter freundii CFNIH1,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex; Citrobacter freundii,"Citrobacter freundii is a Gram-negative, aerobic, and short-rod bacterium and is commonly present in the gut microbiota in humans and other animals. It is an opportunistic pathogen that causes diarrhea, septicemia, meningitis, and urinary tract infections, especially in immunocompromised people. P10159 strain was isolated from the urine samples from a patient with esophageal carcinoma in China. [PMID: 26893430]","With the abuse of antibiotics, C. freundii has become resistant to common antibiotics, causing great challenges to the clinical treatment of infections. Genes, such as parC, parE, and gyrA, were detected in the genome, showing resistance to fluoroquinolones; the _-lactamase gene ampC, the MATE family of multidrug resistance (MDR) efflux pumps, and multidrug major facilitator super family (MFS) genes were also found in the genome. [PMID: 26893430]",There was no information found on the strain CFNIH1. Information was provided for strain P10159.
UP000028584_CP007619,UP000028584,Y,Y,357276,Bacteroides dorei,GCA_000738045.1,5.729,*NZ_CP007619.1,,CP007619,"Bacteroides dorei isolate HS1_L_1_B_010, complete genome",357276,Bacteroides dorei,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,"The two isolates originating from human faeces, 175T and 219, were anaerobic, non-spore-forming, non-motile, Gram-negative rods. [PMID: 16825642]",Differencial abundances of B. dorei in recuited patients with coronary artery disease (CAD). [PMID: 30571343],"Bacteroides dorei isolate HS1_L_1_B_010, complete genome 5,729,085 bp circular DNA Record removed. This record was removed by RefSeq staff. Please contact info@ncbi.nlm.nih.gov for further details. NZ_CP007619.1 GI:749321918. This proteome is redundant to UP000294711. No information about the specific species was found."
UP000027602_CP007739,UP000027602,Y,Y,796606,Bacillus methanolicus MGA3,GCA_000724485.1,3.425,NZ_CP007739.1,NZ_CP007741.1,CP007739,"Bacillus methanolicus MGA3, complete genome",796606,Bacillus methanolicus MGA3,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus methanolicus,Bacillus methanolicus MGA3 was isolated from freshwater marsh soil and characterised as a thermotolerant and methylotrophic L-glutamate producer. The complete genome consists of a circular chromosome and the two plasmids pBM19 and pBM69. It includes genomic information about C1 metabolism and amino acid biosynthetic pathways. [PMID: 25152427],Bacillus methanolicus is one of the few described microbial candidates with a potential for the conversion of methanol to value-added products. Its capabilities of producing and secreting the commercially important amino acids l-glutamate and l-lysine to high concentrations. [PMID: 25431011],Also referred to as strain ATCC 53907 in UniProt.
UP000018115_CP008741,UP000018115,Y,Y,1262754,Bacteroides sp CAG:98,GCA_000438395.1,3.321,*NZ_CP008741.1,,CP008741,"Bacteroides dorei isolate HS1_L_3_B_079, complete genome",357276,Bacteroides dorei,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,"The two isolates originating from human faeces, 175T and 219, were anaerobic, non-spore-forming, non-motile, Gram-negative rods. Grows in the presence of bile. [PMID: 16825642]",Differencial abundances of B. dorei in recuited patients with coronary artery disease (CAD). [PMID: 30571343],"Bacteroides dorei isolate HS1_L_3_B_079, complete genome 5,243,219 bp circular DNA Record removed. This record was removed by RefSeq staff. Please contact info@ncbi.nlm.nih.gov for further details. NZ_CP008741.1 GI:749321925. Represented by the reference genome in the Bacteroides dorei cluster in rp-35. The GenBank sequence for assembly ID is got from WGS Sequence Set. This proteome is redundant to UP000294834. No information about the specific isolate was found. This proteome is redundant to UP000294834. No information about the specific isolate was found."
UP000002042_CP009045,UP000002042,Y,Y,552531,Bifidobacterium animalis subsp lactis (strain BB-12),GCA_000025245.1,1.942,NC_017214.1,,CP009045,"Bifidobacterium animalis subsp. lactis strain BF052, complete genome",302911,Bifidobacterium animalis subsp. lactis,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium animalis,"Isolated from helathy breast-fed Thai infants. No plasmids were found. About one-third of the genes identified in the BF052 genome were predicted to be involved in metabolism and transport, 42.1% were assigned to cellular functions, 16.3% protein-coding sequences were conserved domains of uncharacterized function and only 8.5% lack similarity to entries in the public databases. [PMID: 28911187]","Three local strains (BF014, BF052, and BH053) belonging to Bifidobacterium animalis showed a great resistance against conditions simulating the gastrointestinal tract. Among these, B. animalis BF052 possessed considerable probiotic properties, including high acid and bile tolerance, strong adhesion capability to Caco-2 cells, and inhibitory activity against pathogens including Salmonella typhimurium and Vibrio cholerae. [PMID: 27333286]",This proteome is redundant to UP000002042.
